disease,icd,count
nsclc (non-small cell lung cancer),"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
donor,"['Z52.4', 'Z52.5', 'Z52.6', 'Z52.10', 'Z52.11', 'Z52.19', 'Z52.20']",1
hepatic neoplasm malignant recurrent,['C18.3'],1
infection due to indwelling urinary catheter,"['T83.021S', 'T83.031S', 'T83.122S', 'T83.011S', 'T83.021A', 'T83.021D', 'T83.031A']",1
enamel erosion,None,1
squamous cell non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
small cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
effects of different meals on the qt/qtc interval,"['Z92.82', 'C7A.1']",1
insulin and oral hypoglycemic [antidiabetic] drugs causing adverse effects in therapeutic use,"['T38.3X6S', 'T38.3X3S', 'T38.3X4S', 'T38.3X5S', 'T38.3X6A', 'T38.3X6D', 'Z79.85']",1
c-peptide effects on the qt/qtc interval,None,1
moxifloxacin ecg profile in fed and fasted state,None,1
japanese vs. caucasian tqt comparison,['Z00.6'],1
myeloid leukemia,"['C92.Z1', 'C92.Z2', 'C92.91', 'C92.92', 'C92.Z0', 'C92.90', 'C92.11']",1
pvns,None,1
giant cell tumor of the tendon sheath,None,1
gccts,None,1
tenosynovial giant cell tumor localized or diffused type,"['E65', 'L68.2', 'R60.0', 'L94.0', 'M81.6', 'A02.20', 'H15.823']",1
gcts,None,1
gastroduodenal ulceration,"['N76.5', 'N76.6', 'N77.0', 'E50.3', 'I70.25', 'I70.231', 'I70.232']",1
anklyosing spondylitis,"['L40.53', 'M08.1', 'M45.6', 'M45.2', 'M45.3', 'M45.4', 'M45.5']",1
pharmacokinetics study in de novo kidney transplantation,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",1
decreased immunologic activity,"['Z05.43', 'R76.8', 'R76.9', 'R83.4', 'R84.4', 'R85.4', 'R86.4']",1
chronic rejection of lung transplant,"['T86.11', 'T86.12', 'T86.13', 'T86.21', 'T86.22', 'T86.23', 'T86.41']",1
severe aortic stenosis,"['I05.0', 'I06.0', 'I07.0', 'J38.6', 'J95.5', 'Q22.4', 'Q23.2']",1
aortic valve replacement,"['Z79.890', 'Z96.693', 'Z47.1', 'Z95.4', 'Z96.691', 'Z96.692', 'T82.320S']",1
isolated systolic hypertension,"['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",1
phacoemulsification cataract surgery,"['H26.9', 'Q12.0', 'H59.023', 'H26.20', 'H26.40', 'H26.8', 'H59.021']",1
brain metastases from non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
acid wear,None,1
pancreatic acinar cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
esi-related bleeding,"['N92.3', 'N95.0', 'K29.80', 'K29.81', 'I85.00', 'I85.01', 'K20.80']",1
relapsed or refractory systemic light chain amyloidosis,"['E85.89', 'E85.9', 'E85.1', 'E85.2', 'E85.3', 'E85.4', 'E85.0']",1
advanced sarcomatoid renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
pain control with iud insertion,"['O43.121', 'O43.122', 'O43.123', 'O43.129', 'Q95.0', 'Z30.430', 'M96.65']",1
dietary modification,['E77.0'],1
microvascular angina,['I20.81'],1
fungal infection,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
headaches,None,1
advanced or metastatic (medically or surgically unresectable) clear-cell renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
chronic obstructive pulmonary disease (copd) with cachexia,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
alpha 1 antitrypsin deficiency,['E88.01'],1
hypotension on induction,"['I95.0', 'I95.1', 'I95.81', 'I95.89', 'I95.9', 'G96.810', 'G96.811']",1
refractory reflux esophagitis,"['B37.81', 'K20.0', 'K20.80', 'K20.81', 'K20.90', 'K20.91', 'K21.9']",1
somatostatin analogs,None,1
autosomal dominant polycystic liver disease,"['Z52.6', 'K71.8', 'K71.7', 'A06.4', 'C22.0', 'C22.3', 'K70.0']",1
gulf war illness,None,1
non-squamous cell non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
adenocarcinoma of head of pancreas,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
cardiorenal syndrome (crs),"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
hot flushes,None,1
metastatic castrate-resistant prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",1
psa,"['R97.20', 'R97.21']",1
neurofibromatoses,None,1
prevention of new onset diabetes among kidney transplant patients,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",1
child behavior,"['Z72.810', 'F98.8', 'F98.9', 'Z73.810', 'Z73.811', 'Z73.812', 'Z73.819']",1
genitourinary (gu) tumors,"['B87.81', 'A06.82', 'A54.29', 'A56.19', 'B90.1', 'A18.10', 'A52.76']",1
androgen deficiency,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
severe sepsis or septic shock,None,1
dry mouth,['R68.2'],1
human influenza,"['J11.81', 'J11.82', 'J10.01', 'J10.81', 'J10.82', 'J11.08', 'J11.2']",1
anterior cruciate ligament (acl) tears,"['G83.82', 'H15.013', 'M26.54', 'G46.1', 'H15.011', 'H15.012', 'H15.019']",1
n-ras mutated locally advanced or metastasis malignant cutaneous melanoma,"['R18.0', 'C17.3', 'G21.0', 'J91.0', 'C05.2', 'C10.0', 'C16.0']",1
diagnostic colonoscopy screening,"['T50.8X6S', 'T50.8X3S', 'T50.8X4S', 'T50.8X5S', 'T50.8X6A', 'T50.8X6D', 'R93.6']",1
resectable pancreatic cancer,['C25.3'],1
"psoriasis, arthritic","['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",1
recurrent head and neck carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
sexual health quality of life,None,1
"pain in leg, unspecified","['M79.606', 'M79.669']",1
"medulloblastoma, childhood","['F80.81', 'F84.3', 'F93.8', 'F93.9', 'R62.0', 'E71.520', 'F64.2']",1
radiotherapy-induced nausea and vomiting (rinv),"['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']",1
sedentary,None,1
recurrent b-cell childhood acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",1
recurrent childhood b-lymphoblastic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
stage iib melanoma (locally advanced),"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",1
stage iic melanoma (locally advanced),"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",1
"stage iv melanoma (limited, resectable)","['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",1
rotator cuff syndrome,"['S43.421S', 'S43.422S', 'S43.429S', 'S43.421A', 'S43.421D', 'S43.422A', 'S43.422D']",1
shoulder bursitis,"['M06.211', 'M06.212', 'M06.219', 'M75.50', 'M75.51', 'M75.52', 'M71.111']",1
nonalcoholic steatohapatitis,['K75.81'],1
uterine endometrial cancer,"['N85.00', 'N85.01', 'N85.02', 'N99.85']",1
acute low back pain,None,1
"disorders of gallbladder, biliary tract and pancrease","['K82.0', 'K82.1', 'K82.2', 'K82.3', 'K82.4', 'C23', 'K82.9']",1
management of chronic pain,"['Z30.8', 'Z30.9', 'Z31.89', 'Z31.9', 'Z45.42', 'Z73.89', 'Z73.9']",1
diabetic foot,['Z86.31'],1
non-hpv locally advanced head and neck cancer,"['C67.5', 'C76.0', 'C44.40', 'D23.4', 'C44.49', 'C47.0', 'C49.0']",1
bone pain in stage i - iii breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
gout flares,None,1
tuberous sclerosis complex-associated refractory seizures,"['D46.4', 'I20.2', 'D46.1', 'D46.A', 'D46.0', 'D46.20', 'D46.21']",1
severe mood dysregulation,['F34.81'],1
bowel preparation for colonoscopy,"['Y93.G1', 'T49.4X1A', 'T49.4X1D', 'T49.4X1S', 'T49.4X2A', 'T49.4X2D', 'T49.4X2S']",1
"pulmonary hypertension, familial persistent, of the newborn","['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",1
neonatal seizures,"['E71.511', 'P29.11', 'P29.12', 'P29.2', 'P37.5', 'P54.0', 'P54.1']",1
brafv600e melanoma patients,"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",1
focus of study: neural correlates of oxytocin administration,"['Z29.3', 'O77.1', 'T80.51XS', 'T80.51XA', 'T80.51XD', 'T80.61XS', 'T80.61XA']",1
adult t-cell leukemia-lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
complicated intra-abdominal infection,"['D18.03', 'C83.73', 'C84.03', 'C84.13', 'C81.73', 'C81.93', 'C82.93']",1
mitochondrial biogenesis,"['E88.40', 'E88.49', 'E88.43', 'G71.3']",1
carbon monoxide,"['T58.13XS', 'T58.14XS', 'T58.8X3S', 'T58.8X4S', 'T58.93XS', 'T58.94XS', 'T58.03XS']",1
adhd - inattentive type,['F90.0'],1
adhd - combined type,"['D81.89', 'D81.9', 'F90.2', 'Z73.812', 'D81.0', 'H25.813', 'D81.31']",1
tic disorder,"['F95.0', 'F95.9', 'F95.1', 'F95.8']",1
curvature of spine,"['Q55.61', 'C16.5', 'C16.6']",1
venous thromboembolic disease,['I27.24'],1
reduction of hypertrophic skin scarring,"['L91.0', 'I42.1', 'I42.2', 'L43.0', 'K31.1', 'Q40.0', 'Q43.0']",1
high risk for cardiovascular event,"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
adult primary hepatocellular carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
advanced adult primary liver cancer,"['D13.4', 'Z85.05', 'C22.8', 'C78.7', 'C22.9', 'D37.6']",1
recurrent adult primary liver cancer,"['D13.4', 'Z85.05', 'C22.8', 'C78.7', 'C22.9', 'D37.6']",1
metastatic castrate resistant prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",1
"bowel preparation prior to endoscopic, radiological and other examinations as well as to surgical procedures which require empty bowel.","['O28.4', 'Y78.0', 'Y78.1', 'Y78.8', 'Y78.3', 'Y78.2', 'Y84.2']",1
sickle cell nephropathy,"['N14.0', 'N15.0', 'N14.11', 'A36.84', 'B58.83', 'B52.0', 'N13.71']",1
neutropenic complications,"['A36.89', 'B01.89', 'B02.9', 'B05.89', 'B06.89', 'B26.89', 'K94.30']",1
chemotherapeutic toxicity,None,1
premature rupture of fetal membranes,"['F52.4', 'E28.310', 'E28.319', 'I49.1', 'I49.2', 'I49.3', 'I49.40']",1
stage ia mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
stage ib mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
stage iia mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
stage iib mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
stage iiia mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
stage iiib mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
stage iva mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
stage ivb mycosis fungoides/sezary syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
advanced or metastatic hepatocellular cancer,"['P59.20', 'P59.29']",1
advanced or metastatic ovarian cancer,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
metastatic renal cell cancer,"['C96.20', 'C96.29', 'D47.09']",1
advanced or metastatic gastric carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
philadelphia chromosome positive (ph+) chronic myelogenous leukemia in chronic phase (cml-cp),"['Q99.2', 'Q99.8', 'Q95.1', 'Q98.7', 'Q92.0', 'Q92.1', 'Q93.0']",1
t-cell non-hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
metastatic breastcancer,None,1
diagnostic,"['T50.8X6S', 'T50.8X3S', 'T50.8X4S', 'T50.8X5S', 'T50.8X6A', 'T50.8X6D', 'R93.6']",1
procedures and surgeries on or through accessible mucous membranes,"['O75.4', 'T81.89XS', 'T81.89XA', 'T81.89XD', 'P00.7', 'Z41.8', 'O35.7XX1']",1
of the nasal cavities,['Z85.22'],1
generalized tonic clonic seizures,"['A21.7', 'I70.91', 'R60.1', 'R61', 'F40.11', 'F41.1', 'K65.0']",1
respiratory function,"['R09.2', 'A15.7', 'A15.8', 'A15.9', 'J98.9', 'R06.03', 'J12.1']",1
cerebral tissue oxygenation,['Z92.81'],1
neuropathic pain due to spinal cord injury,"['E85.1', 'E85.0', 'N31.0', 'N31.1', 'N31.2', 'E10.610', 'E11.610']",1
acute lymphoid leukemia,"['J84.2', 'C91.Z1', 'C91.Z2', 'C91.91', 'C91.92', 'C91.Z0', 'C91.90']",1
myeloproliferative disease,['D47.1'],1
ckd anemia,None,1
poorly-controlled hypertension,"['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",1
castrate-resistant metastatic prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",1
vernal keratoconjunctivitis,"['H16.263', 'H16.261', 'H16.262', 'H16.269']",1
diabetes complications,"['E10.9', 'E11.9', 'E13.9', 'E10.8', 'E11.8', 'E13.8', 'E08.9']",1
small lymphocytic lymphoma (sll),"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
radiation pneumonitis,"['B25.0', 'J84.114', 'J84.113', 'J95.4', 'J67.8', 'J67.9', 'J69.0']",1
cesarean delivery,"['O90.0', 'P03.4', 'O82', 'O66.41', 'O34.212', 'O34.211', 'O34.218']",1
helminthiasis,"['B83.9', 'B82.0']",1
"headache, tension-type","['G44.201', 'G44.211', 'G44.221', 'G44.209', 'G44.219', 'G44.229']",1
intestinal permeability,"['B78.0', 'B81.1', 'B81.3', 'B87.82', 'K90.83', 'A06.1', 'B81.4']",1
keratitis,"['A18.52', 'A54.33', 'B00.52', 'B01.81', 'B02.33', 'H16.8', 'H16.9']",1
aneurysm,"['I25.3', 'I25.41', 'I67.1', 'A52.01', 'I28.1', 'I72.0', 'I72.2']",1
lysosomal acid lipase deficiency,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
glucocorticosteroid refractory acute gvhd,"['D46.4', 'I20.2', 'D46.1', 'D46.A', 'D46.0', 'D46.20', 'D46.21']",1
function of renal transplant,"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",1
duchenne muscular dystrophy (dmd),"['H35.51', 'L60.3', 'G71.00', 'G71.02', 'G71.11', 'H35.52', 'H18.513']",1
"purpura, thrombocytopenic, idiopathic and hepatitis c",['D69.3'],1
wound healing,None,1
metastatic or unresectable cutaneous melanoma,"['A06.7', 'A22.0', 'A26.0', 'A32.0', 'A36.3', 'A43.1', 'B38.3']",1
squamous cell skin carcinoma,"['C44.520', 'C44.92', 'C44.02', 'C44.321', 'C44.521', 'C44.82', 'C44.42']",1
chronic kidney disease stage 5,"['N18.5', 'I12.0', 'I13.11', 'I13.2']",1
localized primary osteoarthritis of hip,"['M15.4', 'M15.0', 'M16.9', 'M17.9', 'M19.011', 'M19.012', 'M19.019']",1
localized primary osteoarthritis of knee,"['M15.4', 'M15.0', 'M16.9', 'M17.9', 'M19.011', 'M19.012', 'M19.019']",1
systolic heart failure,"['I50.20', 'I50.21', 'I50.22', 'I50.23', 'I50.40', 'I50.41', 'I50.42']",1
acquired immune deficiency syndrome virus,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
hyperhomocysteinemia,None,1
inherited erythromelalgia,['I73.81'],1
vulva; candidiasis,"['B37.31', 'B37.32']",1
her2 positive esophagogastric cancer,['K22.82'],1
advanced malignant pleural mesothelioma,"['C45.9', 'C45.0', 'C45.1', 'C45.2', 'C45.7']",1
mpm,None,1
hepatic carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
radiation induced fibrosis to the head and neck,"['K62.7', 'G62.82', 'N46.024', 'N46.124', 'T66.XXXS', 'Z57.1', 'N52.35']",1
asthenia,None,1
non-small cell lung cancer with egfr-activating mutations,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
her-2 gene amplification,None,1
prevention & control,None,1
30% oxygen concentration during colorectal surgery,"['R41.840', 'I69.310', 'I69.010', 'I69.110', 'I69.810', 'I69.910', 'I69.210']",1
80% oxygen concentration during colorectal surgery,"['R41.840', 'I69.310', 'I69.010', 'I69.110', 'I69.810', 'I69.910', 'I69.210']",1
growth disorder,"['M89.20', 'M89.211', 'M89.212', 'M89.219', 'M89.221', 'M89.222', 'M89.229']",1
patients with moderate-to-severe copd with destroyed lung by tuberculosis,"['A18.39', 'P37.0', 'Z22.7', 'A15.0', 'A15.7', 'A15.8', 'A15.9']",1
ureaplasma infections,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
low t3 syndrome,"['T33.3XXA', 'T33.3XXD', 'T33.3XXS', 'T33.70XA', 'T33.70XD', 'T33.70XS', 'T33.71XA']",1
"diabetes mellitus, type i","['E10.3521', 'E10.3522', 'E10.3523', 'E10.3529', 'E10.3531', 'E10.3532', 'E10.3533']",1
"diabetes mellitus, insulin-dependent, 1","['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']",1
insulin-dependent diabetes mellitus 1,"['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']",1
iddm,None,1
fungal infections,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
invasive pulmonary aspergillosis,['B44.0'],1
carnitine deficiency,"['E71.41', 'E71.43', 'E71.314', 'E71.448', 'E71.42']",1
adenocarcinoma pancreas,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
posterior blepharitis,"['H01.001', 'H01.002', 'H01.004', 'H01.005', 'H01.011', 'H01.012', 'H01.014']",1
older adults,None,1
psychosis nos,"['F53.1', 'F29']",1
subfertility,None,1
modified release oral formulation,None,1
left ventricular systolic dysfunction,"['I49.01', 'I49.02', 'I47.20', 'I47.29', 'I49.3', 'Q21.0', 'I47.0']",1
history of chronic heart failure,None,1
left ventricular ejection fraction,"['I49.01', 'I49.02', 'I47.20', 'I47.29', 'I49.3', 'Q21.0', 'I47.0']",1
echocardiogram,"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
chronic obstructive lung disease,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
glioblastoma multiforme (gbm),"['L51.0', 'L51.8', 'L51.9']",1
adult grade iii lymphomatoid granulomatosis,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
"chronic myelogenous leukemia, bcr-abl1 positive","['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",1
primary central nervous system hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
primary central nervous system non-hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
refractory anemia,"['D46.4', 'D46.1', 'D46.0', 'D46.20', 'D46.21', 'D46.22']",1
secondary central nervous system hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
secondary central nervous system non-hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
stage i adult hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
stage ii adult hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
patients with newly diagnosed glioblastoma,None,1
simultaneous kidney and pancreas transplantation,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",1
relapsing-remitting,None,1
sneddon-wilkinson,None,1
acrodermatitis continua of hallopeau,"['L40.2', 'L90.4', 'L44.4']",1
pustular psoriasis,['L40.1'],1
recurrent disease,['N02.6'],1
postoperative vomiting,"['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']",1
non-small-cell lung adenocarcinoma,"['D02.20', 'D02.21', 'D02.22']",1
non-small cell lung cancer stage iiib,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
traumatic brain injury (tbi),"['R56.1', 'S27.0XXS', 'S27.1XXS', 'S27.2XXS', 'T79.4XXS', 'T79.5XXS', 'G91.3']",1
posterolateral thoracotomy,"['G89.12', 'G89.22']",1
secondary insomnia,"['D75.1', 'E26.1', 'N91.1', 'N91.4', 'N94.5', 'A51.41', 'A51.43']",1
nosocomial pneumonia (np),['Y95'],1
ventilator-associated pneumonia (vap),['J95.851'],1
vascular disease,"['I73.9', 'D57.03', 'D57.213', 'G46.8', 'I73.89']",1
her2+ metastatic breast cancer (mbc),"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
acute alcoholic hepatitis,"['G62.1', 'G72.1', 'I42.6', 'K70.0', 'K29.20', 'K29.21', 'K70.10']",1
concussion,"['S06.0X0S', 'S06.0X0A', 'S06.0X0D', 'S06.0XAS', 'S14.0XXS', 'S24.0XXS', 'S34.01XS']",1
hyperkalemia (hk),"['E87.5', 'P74.31']",1
spinal disorders,"['M42.9', 'G12.25', 'G12.9', 'G96.12', 'M46.00', 'M46.02', 'M46.03']",1
spinocerebellar ataxias type 1,None,1
spinocerebellar ataxias type 2,None,1
spinocerebellar ataxias type 3,None,1
spinocerebellar ataxias type 6,None,1
patient diagnosed with ocd and resistant to ssri treatment,"['I1A.0', 'Z19.2', 'Z22.350', 'Z22.340', 'A41.02', 'A49.02', 'J15.212']",1
failed ssri over 12 weeks at appropriate doses,None,1
adolescent idiopathic scoliosis,"['M41.122', 'M41.123', 'M41.124', 'M41.125', 'M41.126', 'M41.127', 'M41.129']",1
staphylococcal skin infection,"['G00.3', 'M00.09', 'A05.0', 'M00.08', 'L00', 'M00.00', 'M00.011']",1
ovarian hyperstimulation syndrome,['N98.1'],1
pectus excavatum,['Q67.6'],1
"her2-positive newly diagnosed, primary breast cancer","['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
islet transplantation in diabetes mellitus type 1,['M31.11'],1
hiv positive,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",1
malnourished,None,1
therapeutic abortion,"['T41.5X6S', 'T41.5X3S', 'T41.5X4S', 'T41.5X5S', 'T41.5X6A', 'T41.5X6D', 'Z51.81']",1
spinal disorder,"['M42.9', 'G12.25', 'G12.9', 'G96.12', 'M46.00', 'M46.02', 'M46.03']",1
histologically proven diagnosis of glioblastoma or gliosarcoma (who grade iv),"['R03.0', 'Z71.1']",1
hypothermia,"['T68.XXXS', 'T68.XXXA', 'T68.XXXD', 'P80.8', 'P80.9', 'T88.51XS', 'T88.51XA']",1
gastrointestinal mucosal damage,"['A21.3', 'A22.2', 'B46.2', 'K92.2', 'K92.81', 'K91.0', 'P54.3']",1
laparoscopic cholecystectomy,['K91.86'],1
recurrent skin cancer,"['C79.2', 'C44.500', 'C44.90', 'D23.9', 'D48.5', 'C44.00', 'C44.301']",1
